Наименование;Площадь;Цена;Дата;Адрес;Ссылка
Дом 72 м² на участке 4.5 сот.;72.0;2590000.0;21/07/2020;1-я Новозаводская ул.;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_72_m_na_uchastke_4.5_sot._1770017836
Дом 658.2 м² на участке 16 сот.;658.2;36000000.0;28/07/2020;Заволжский район, посёлок Затверечье, ул. Пленкина, 6;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_658.2_m_na_uchastke_16_sot._1964978449
Дом 62.5 м² на участке 2 сот.;62.5;1850000.0;03/08/2020;посёлок Затверечье, ул. Серова;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_62.5_m_na_uchastke_2_sot._584490705
Дом 40 м² на участке 2.6 сот.;40.0;1600000.0;22/07/2020;Заволжский район, посёлок Затверечье, ул. Новая слобода, 6А;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_40_m_na_uchastke_2.6_sot._1208129877
Дом 40 м² на участке 3 сот.;40.0;1300000.0;04/08/2020;посёлок Затверечье, ул. Академика Туполева, 74;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_40_m_na_uchastke_3_sot._1798655866
Дом 32 м² на участке 3 сот.;32.0;1150000.0;29/07/2020;посёлок Затверечье, Силикатный пр.;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_32_m_na_uchastke_3_sot._1666123179
Дом 799.3 м² на участке 12.5 сот.;799.3;69500000.0;27/07/2020;посёлок Затверечье, наб. Реки Волги, 17;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_799.3_m_na_uchastke_12.5_sot._1052748578
Дом 290 м² на участке 7 сот.;290.0;14999000.0;13/07/2020;Тверецкий пр., 137А;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_290_m_na_uchastke_7_sot._1902175911
Дом 101 м² на участке 6 сот.;101.0;5500000.0;19/07/2020;посёлок Затверечье, ул. Академика Туполева, 82;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_101_m_na_uchastke_6_sot._1853032488
Дом 169 м² на участке 6.4 сот.;169.0;6700000.0;27/07/2020;ул. Новая Заря;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_169_m_na_uchastke_6.4_sot._1930914330
Дом 70 м² на участке 4 сот.;70.0;2400000.0;30/07/2020;ул. Новая Заря, 76;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_70_m_na_uchastke_4_sot._1825748858
Дом 69 м² на участке 5.1 сот.;69.0;2650000.0;26/07/2020;Затверецкий б-р, 107;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_69_m_na_uchastke_5.1_sot._1893660705
Дом 91.4 м² на участке 3 сот.;91.4;2300000.0;29/07/2020;посёлок Затверечье, 2-я ул. Александра Невского, 35;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_91.4_m_na_uchastke_3_sot._1919198239
Дом 66.9 м² на участке 8.1 сот.;66.9;5000000.0;05/08/2020;Заволжский район, посёлок Затверечье, Дурмановский пер., 15;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_66.9_m_na_uchastke_8.1_sot._1967551348
Коттедж 160 м² на участке 3 сот.;160.0;5500000.0;23/07/2020;ул. Добролюбова;https://www.avito.ru/tver/doma_dachi_kottedzhi/kottedzh_160_m_na_uchastke_3_sot._1953359042
Коттедж 143 м² на участке 5 сот.;143.0;8500000.0;01/08/2020;Затверецкий б-р, 140;https://www.avito.ru/tver/doma_dachi_kottedzhi/kottedzh_143_m_na_uchastke_5_sot._1234598264
